"","crime_date","description","inside_outside","weapon","gender","age","race","ethnicity","location","new_district","neighborhood","latitude","longitude","premise_type","zt","zap"
"511","5/4/2025","Shoplifting","Inside","None reported","None reported","None reported","None reported","None Reported","4500 ERDMAN AVE","Eastern","Orchard Ridge",39.309533,-76.562784,"Wholesaler/store","12:30","a.m."
"512","5/4/2025","Shoplifting","Inside","None reported","None reported","None reported","None reported","None Reported","300 N CHARLES ST","Central","Downtown",39.292359,-76.615412,"Convenience store","12:45","a.m."
"513","5/4/2025","Larceny","Outside","None reported","Male","47","White","Hispanic or Latino","100 W BARRE ST","Southern","Otterbein",39.283312,-76.617117,"Street","12:55","a.m."
"514","5/4/2025","Larceny","Inside","None reported","None reported","None reported","None reported","None Reported","600 S EXETER ST","Central","Harbor East",39.283917,-76.600349,"Convenience store","2:40","a.m."
"515","5/4/2025","Larceny","Inside","None reported","None reported","None reported","None reported","None Reported","1400 E FAYETTE ST","Central","Dunbar-Broadway",39.293358,-76.597684,"Liquor store","3:29","a.m."
"516","5/4/2025","Larceny","Outside","None reported","Male","27","Black or African American","Not Hispanic or Latino","2500 FLEET ST","Southeast","Canton",39.285102,-76.581321,"Street","5:30","a.m."
"517","5/4/2025","Larceny from auto","Outside","None reported","Female","30","Black or African American","Unknown","1200 JAMES ST","Southern","Washington Village/Pigtown",39.282335,-76.635038,"Street","6:30","a.m."
"518","5/4/2025","Larceny","Inside","None reported","Unknown","None reported","None reported","Unknown","1300 LOWMAN ST","Southern","Locust Point",39.272223,-76.594276,"Other/residential","8:35","a.m."
"519","5/4/2025","Larceny from auto","Outside","None reported","Male","24","White","Not Hispanic or Latino","300 N HOWARD ST","Central","Downtown",39.293239,-76.619743,"Street","9:00","a.m."
"520","5/4/2025","Larceny from auto","Outside","None reported","Male","27","Black or African American","Not Hispanic or Latino","2800 E FAIRMOUNT AVE","Southeast","Patterson Park Neighborhood",39.293259,-76.57686,"Street","9:31","a.m."
