"","crime_date","description","inside_outside","weapon","gender","age","race","ethnicity","location","new_district","neighborhood","latitude","longitude","premise_type","zt","zap"
"313","4/11/2025","Auto theft","Outside","None reported","Male","34","White","Hispanic or Latino","5300 HUDSON ST","Southeast","Greektown",39.283242,-76.550988,"Street","9:00","p.m."
"314","4/12/2025","Auto theft","Outside","None reported","Male","59","Black or African American","Not Hispanic or Latino","2900 HAVERFORD RD","Northwest","Windsor Hills",39.318814,-76.68741,"Street","2:00","a.m."
"315","4/12/2025","Auto theft","Inside","None reported","Female","25","Black or African American","Not Hispanic or Latino","3900 LIBERTY HEIGHTS AVE","Northwest","Central Forest Park",39.327727,-76.683911,"Other/residential","3:00","a.m."
"316","4/12/2025","Auto theft","Outside","None reported","Female","30","Black or African American","Unknown","400 S BROADWAY","Central","Fells Point",39.286379,-76.593349,"Street","5:00","a.m."
"317","4/12/2025","Auto theft","Outside","None reported","Male","36","Black or African American","Unknown","1400 W FAYETTE ST","Southwest","Franklin Square",39.289765,-76.639687,"Street","6:00","a.m."
"318","4/12/2025","Auto theft","Outside","None reported","Female","88","White","Not Hispanic or Latino","900 S HANOVER ST","Southern","Federal Hill",39.278864,-76.615597,"Street","1:30","p.m."
"319","4/12/2025","Auto theft","Outside","None reported","Male","21","Black or African American","Not Hispanic or Latino","2400 BRIDGEHAMPTON DR","Northeast","Hamilton Hills",39.36992,-76.564642,"Shed/garage","4:11","p.m."
"320","4/12/2025","Auto theft","Outside","None reported","Female","32","Black or African American","Unknown","1100 PARK AVE","Western","Bolton Hill",39.304842,-76.620999,"Street","8:30","p.m."
"321","4/12/2025","Auto theft","Outside","None reported","Male","22","White","Not Hispanic or Latino","100 MOSHER ST","Western","Bolton Hill",39.30909,-76.623155,"Street","10:30","p.m."
"322","4/12/2025","Auto theft","Outside","None reported","Male","57","White","Not Hispanic or Latino","100 MOSHER ST","Western","Bolton Hill",39.30909,-76.623155,"Street","10:30","p.m."
"323","4/12/2025","Auto theft","Outside","None reported","Female","23","Black or African American","Unknown","3900 ELM AVE","Northern","Hampden",39.336644,-76.631678,"Street","10:45","p.m."
"324","4/12/2025","Auto theft","Outside","None reported","Female","48","Black or African American","Not Hispanic or Latino","900 LEADENHALL ST","Southern","Sharp-Leadenhall",39.278418,-76.617065,"Street","11:30","p.m."
